Year,T,P,E
1836,14.411620833333334,1105.099463,1154.197056
1837,14.442084166666667,1101.523669,1146.827418
1838,14.595392499999999,1102.000598,1148.128253
1839,14.568563333333334,1102.641505,1151.00121
1840,14.519835833333333,1108.204044,1160.470916
1841,14.511261666666666,1105.536325,1153.386186
1842,14.4815025,1107.4861,1157.372865
1843,14.503209166666666,1103.510888,1151.661955
1844,14.460855833333333,1106.481104,1155.041868
1845,14.42754,1103.334587,1150.485242
1846,14.604623333333333,1107.5975680000001,1158.28372
1847,14.566465833333334,1107.860277,1156.306124
1848,14.552256666666667,1110.030237,1155.852632
1849,14.541619166666667,1102.427183,1150.943851
1850,14.6238275,1105.402063,1159.492392
1851,14.672429166666667,1103.304626,1158.811403
1852,14.709209166666668,1112.825628,1164.0412469999999
1853,14.711170833333334,1106.172814,1157.969489
1854,14.745318333333334,1107.43605,1160.592791
1855,14.772649166666667,1097.766826,1150.946462
1856,14.598716666666666,1104.342768,1166.259065
1857,14.591003333333333,1091.33225,1152.770888
1858,14.632863333333333,1097.052528,1153.782306
1859,14.684389166666666,1096.453314,1156.543786
1860,14.743999166666667,1109.086446,1161.027382
1861,14.678996666666666,1104.26909,1157.677805
1862,14.639203333333333,1108.752119,1165.1076699999999
1863,14.737949166666667,1109.723705,1157.264785
1864,14.716614166666666,1106.020828,1160.322952
1865,14.7693525,1112.813075,1164.630567
1866,14.7670075,1115.7439279999999,1168.696105
1867,14.760730833333334,1104.408248,1166.815112
1868,14.817724166666666,1112.169245,1164.223816
1869,14.83532,1119.359558,1168.74482
1870,14.780379166666666,1112.577299,1166.362735
1871,14.655438333333333,1105.839026,1159.665113
1872,14.687977499999999,1109.448792,1158.3548799999999
1873,14.666706666666666,1102.209466,1152.760296
1874,14.590469166666667,1103.160337,1151.986026
1875,14.651481666666667,1106.25356,1154.531233
1876,14.635685,1107.189783,1153.988026
1877,14.7806325,1110.590697,1167.165054
1878,14.986198333333332,1119.948204,1172.09128
1879,14.833091666666666,1117.236175,1164.417533
1880,14.75824,1113.746145,1162.906908
1881,14.832585833333333,1113.215,1166.894394
1882,14.7134325,1111.193194,1162.813284
1883,14.682656666666666,1101.013128,1163.716177
1884,14.5767475,1093.071847,1163.033767
1885,14.571241666666666,1096.130247,1162.2671070000001
1886,14.647398333333333,1100.5240469999999,1168.8165960000001
1887,14.558705833333333,1096.928147,1161.706261
1888,14.719643333333334,1107.695958,1168.851005
1889,14.789880833333333,1099.832249,1167.0138239999999
1890,14.496995,1097.404552,1153.895638
1891,14.687016666666667,1108.994214,1163.56246
1892,14.58923,1110.824902,1161.604022
1893,14.54461,1098.002737,1160.597072
1894,14.562345833333334,1109.240276,1159.615623
1895,14.667354166666666,1110.8727390000001,1157.877303
1896,14.7884825,1110.573263,1168.203275
1897,14.808125,1106.351138,1163.561515
1898,14.577723333333333,1102.115654,1157.4360689999999
1899,14.6897175,1105.421347,1160.196169
1900,14.781161666666666,1107.677248,1161.476925
1901,14.712227500000001,1105.541931,1166.754477
1902,14.581994166666666,1106.243756,1163.486938
1903,14.402898333333333,1105.89546,1167.484684
1904,14.31047,1099.515632,1164.4231360000001
1905,14.558403333333334,1102.047067,1155.185043
1906,14.675865,1107.982046,1165.950648
1907,14.490996666666668,1103.850248,1162.716078
1908,14.467980833333334,1103.172059,1167.436004
1909,14.416139166666666,1100.607103,1165.507324
1910,14.356736666666666,1094.72008,1160.140991
1911,14.4116425,1104.491278,1167.817389
1912,14.484598333333333,1114.134177,1172.567143
1913,14.513809166666666,1098.281482,1160.45525
1914,14.626690833333333,1088.8027869999999,1168.293416
1915,14.766811666666667,1107.043469,1179.619392
1916,14.5610275,1105.770184,1176.6200470000001
1917,14.489293333333332,1081.277834,1163.423971
1918,14.590929166666667,1089.855378,1175.243079
1919,14.687279166666666,1092.967827,1172.260491
1920,14.679968333333333,1102.759524,1180.358952
1921,14.6557725,1089.806749,1174.087437
1922,14.594496666666666,1092.723305,1171.788223
1923,14.647071666666667,1090.817842,1169.045646
1924,14.612296666666667,1092.348132,1182.2961930000001
1925,14.632209166666666,1086.076291,1175.393332
1926,14.777010833333334,1100.708794,1180.88561
1927,14.683400833333334,1092.8355,1173.5069839999999
1928,14.723653333333333,1097.612111,1179.884057
1929,14.543479999999999,1097.036917,1174.424297
1930,14.783833333333334,1085.295601,1177.322159
1931,14.840975833333333,1097.582781,1180.82951
1932,14.763036666666666,1097.4406159999999,1177.048613
1933,14.642269166666667,1097.3007910000001,1163.746907
1934,14.701629166666667,1099.363703,1168.89954
1935,14.75275,1093.015416,1171.965124
1936,14.784604166666666,1107.261838,1172.350926
1937,14.8727925,1101.168338,1166.291205
1938,14.8603125,1109.507281,1171.924813
1939,14.877804166666667,1102.618576,1171.413543
1940,14.844394166666667,1117.429745,1170.679525
1941,14.8920525,1114.677461,1182.043824
1942,14.86138,1107.084521,1177.050722
1943,14.834198333333333,1106.6685400000001,1171.865297
1944,15.085233333333333,1119.749784,1180.991317
1945,15.0203375,1116.424969,1181.217201
1946,14.8412625,1115.419537,1176.967014
1947,14.784043333333333,1109.69805,1169.270762
1948,14.735009166666666,1119.255094,1173.333445
1949,14.705665833333333,1101.237853,1169.636516
1950,14.650331666666666,1104.353033,1164.717493
1951,14.750728333333333,1100.273754,1170.1435099999999
1952,14.804105833333333,1100.811184,1174.800883
1953,14.906805,1102.523882,1175.235255
1954,14.734545833333334,1108.133753,1178.283873
1955,14.6711425,1108.560902,1170.512959
1956,14.626544166666667,1113.470625,1179.85099
1957,14.878170833333334,1111.926751,1179.263393
1958,14.892719166666666,1113.342178,1178.932373
1959,14.8644475,1115.820641,1185.662746
1960,14.829909166666667,1108.577086,1187.6547930000002
1961,14.913623333333334,1115.129437,1187.732678
1962,14.853449166666667,1107.9145700000001,1183.495412
1963,14.883639166666667,1108.297974,1186.75919
1964,14.6936375,1109.357633,1185.266473
1965,14.754743333333334,1103.0918960000001,1184.026929
1966,14.816711666666667,1108.1409820000001,1184.313175
1967,14.825198333333333,1110.110661,1189.639057
1968,14.8533825,1107.864409,1185.979702
1969,14.986440833333333,1111.191908,1190.482473
1970,14.932337500000001,1112.668115,1192.7074
1971,14.8251075,1105.411172,1176.533955
1972,14.941004166666666,1105.391428,1190.893713
1973,15.021365833333334,1117.877031,1192.205496
1974,14.79936,1106.704867,1184.516699
1975,14.8851975,1110.754547,1180.881528
1976,14.7784325,1102.240545,1180.356343
1977,15.043369166666666,1111.639743,1193.958086
1978,14.960678333333334,1114.788175,1187.859854
1979,15.018359166666666,1117.88698,1176.574172
1980,15.143004166666667,1122.224536,1187.585176
1981,15.156415833333334,1117.005085,1195.687186
1982,14.925120833333333,1108.743134,1188.421387
1983,15.1139975,1115.128412,1194.371496
1984,14.931,1111.896101,1191.56341
1985,14.962555,1115.855135,1177.342707
1986,15.095543333333334,1121.049783,1184.3312660000001
1987,15.1588175,1120.167428,1188.1875009999999
1988,15.141639999999999,1130.293607,1195.571851
1989,15.040637499999999,1117.592961,1185.094308
1990,15.2870225,1127.085241,1190.433187
1991,15.1944175,1122.826687,1187.529142
1992,14.97842,1123.07066,1187.916573
1993,14.970375833333334,1118.550432,1182.654198
1994,15.094071666666666,1126.267588,1179.367763
1995,15.301278333333334,1127.091816,1181.002646
1996,15.147170833333334,1130.167677,1192.646741
1997,15.318019166666666,1125.743408,1189.357438
1998,15.39584,1137.981253,1205.278773
1999,15.202071666666667,1122.593232,1185.459622
2000,15.223813333333334,1132.4656850000001,1197.721151
2001,15.3650675,1128.526898,1186.750608
2002,15.4049625,1133.094784,1190.5713110000002
2003,15.386369166666666,1128.929157,1195.933169
2004,15.339075833333334,1131.387438,1193.355149
2005,15.4977325,1130.500777,1191.633583
2006,15.469325,1136.605975,1194.712571
2007,15.4709,1140.284451,1190.817399
2008,15.31335,1129.403163,1192.444299
2009,15.433823333333333,1125.980388,1201.223514
2010,15.551583333333333,1142.0292689999999,1209.323729
2011,15.442519166666667,1135.305341,1202.7182
2012,15.485324166666667,1130.736415,1197.606141
2013,15.542969166666667,1134.854917,1191.468995
2014,15.601255833333333,1137.6320699999999,1194.144617
2015,15.759992500000001,1144.173976,1192.448196
